pid,execution_time(ms),scavenge_count,scavenge_time,marksweep_count,marksweep_time
8087,107,0,0,0,0
8087,114,0,0,0,0
8087,120,1,1,0,0
8087,131,1,1,0,0
8087,122,0,0,0,0
8087,110,0,0,0,0
8087,111,0,0,0,0
8087,114,0,0,0,0
8087,131,1,1,0,0
8087,119,1,2,0,0
8087,117,0,0,0,0
8087,119,0,0,0,0
8087,121,0,0,0,0
8087,116,0,0,0,0
8087,116,1,1,0,0
8087,129,1,1,0,0
8087,119,0,0,0,0
8087,118,0,0,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,119,1,4,0,0
8087,117,1,1,0,0
8087,111,0,0,0,0
8087,116,0,0,0,0
8087,117,0,0,0,0
8087,121,0,0,0,0
8087,130,1,2,0,0
8087,118,1,1,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,112,0,0,0,0
8087,110,0,0,0,0
8087,118,1,1,0,0
8087,112,1,1,0,0
8087,114,0,0,0,0
8087,110,0,0,0,0
8087,131,0,0,0,0
8087,115,0,0,0,0
8087,112,1,2,0,0
8087,119,1,1,0,0
8087,116,0,0,0,0
8087,112,0,0,0,0
8087,114,0,0,0,0
8087,127,0,0,0,0
8087,123,1,5,0,0
8087,118,1,2,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,111,0,0,0,0
8087,127,1,1,0,0
8087,119,1,2,0,0
8087,115,0,0,0,0
8087,117,0,0,0,0
8087,117,0,0,0,0
8087,118,0,0,0,0
8087,147,1,2,0,0
8087,112,1,1,0,0
8087,173,0,0,0,0
8087,121,0,0,0,0
8087,116,0,0,0,0
8087,122,0,0,0,0
8087,127,1,7,0,0
8087,136,1,15,0,0
8087,114,0,0,0,0
8087,149,0,0,0,0
8087,173,0,0,0,0
8087,142,0,0,0,0
8087,117,1,1,0,0
8087,123,1,1,0,0
8087,125,0,0,0,0
8087,119,0,0,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,178,1,10,0,0
8087,123,1,7,0,0
8087,121,0,0,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,137,0,0,0,0
8087,114,1,1,0,0
8087,125,1,2,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,112,0,0,0,0
8087,117,1,1,0,0
8087,131,1,1,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,128,0,0,0,0
8087,113,0,0,0,0
8087,135,1,1,0,0
8087,119,1,1,0,0
8087,129,0,0,0,0
8087,114,0,0,0,0
8087,121,0,0,0,0
8087,109,0,0,0,0
8087,120,1,3,0,0
8087,118,1,2,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,112,0,0,0,0
8087,111,0,0,0,0
8087,145,1,14,0,0
8087,123,1,1,0,0
8087,124,0,0,0,0
8087,111,0,0,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,118,1,2,0,0
8087,133,1,3,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,127,0,0,0,0
8087,138,0,0,0,0
8087,128,1,10,0,0
8087,139,1,11,0,0
8087,128,0,0,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,127,1,11,0,0
8087,111,1,1,0,0
8087,119,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,141,1,23,0,0
8087,117,1,2,0,0
8087,122,0,0,0,0
8087,121,0,0,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,122,1,1,0,0
8087,130,1,7,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,128,0,0,0,0
8087,124,1,1,0,0
8087,122,1,1,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,113,0,0,0,0
8087,114,0,0,0,0
8087,123,1,1,0,0
8087,140,1,1,0,0
8087,114,0,0,0,0
8087,125,0,0,0,0
8087,115,0,0,0,0
8087,112,0,0,0,0
8087,129,1,1,0,0
8087,136,1,2,0,0
8087,112,0,0,0,0
8087,121,0,0,0,0
8087,127,0,0,0,0
8087,115,0,0,0,0
8087,135,1,5,0,0
8087,133,1,1,0,0
8087,114,0,0,0,0
8087,118,0,0,0,0
8087,107,0,0,0,0
8087,115,0,0,0,0
8087,132,1,2,0,0
8087,124,1,1,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,129,0,0,0,0
8087,105,0,0,0,0
8087,121,1,6,0,0
8087,137,1,1,0,0
8087,112,0,0,0,0
8087,132,0,0,0,0
8087,114,0,0,0,0
8087,133,0,0,0,0
8087,143,1,2,0,0
8087,120,1,6,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,144,0,0,0,0
8087,115,0,0,0,0
8087,123,1,1,0,0
8087,147,1,11,0,0
8087,107,0,0,0,0
8087,117,0,0,0,0
8087,113,0,0,0,0
8087,113,0,0,0,0
8087,117,1,1,0,0
8087,134,1,15,0,0
8087,127,0,0,0,0
8087,113,0,0,0,0
8087,115,0,0,0,0
8087,110,0,0,0,0
8087,122,1,1,0,0
8087,117,1,2,0,0
8087,119,0,0,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,116,0,0,0,0
8087,131,1,10,0,0
8087,116,1,1,0,0
8087,116,0,0,0,0
8087,118,0,0,0,0
8087,110,0,0,0,0
8087,113,0,0,0,0
8087,125,1,1,0,0
8087,124,1,2,0,0
8087,113,0,0,0,0
8087,114,0,0,0,0
8087,113,0,0,0,0
8087,118,0,0,0,0
8087,116,1,1,0,0
8087,156,1,7,0,0
8087,119,0,0,0,0
8087,118,0,0,0,0
8087,110,0,0,0,0
8087,120,0,0,0,0
8087,130,1,2,0,0
8087,117,1,1,0,0
8087,119,0,0,0,0
8087,123,0,0,0,0
8087,129,0,0,0,0
8087,117,0,0,0,0
8087,128,1,5,0,0
8087,133,1,14,0,0
8087,108,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,143,1,1,0,0
8087,124,1,9,0,0
8087,114,0,0,0,0
8087,145,0,0,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,140,1,13,0,0
8087,127,1,8,0,0
8087,116,0,0,0,0
8087,112,0,0,0,0
8087,116,0,0,0,0
8087,109,0,0,0,0
8087,115,1,1,0,0
8087,118,1,2,0,0
8087,120,0,0,0,0
8087,118,0,0,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,119,1,1,0,0
8087,125,1,10,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,126,0,0,0,0
8087,125,1,1,0,0
8087,116,1,1,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,122,0,0,0,0
8087,121,1,1,0,0
8087,157,1,13,0,0
8087,120,0,0,0,0
8087,111,0,0,0,0
8087,118,0,0,0,0
8087,122,0,0,0,0
8087,116,1,2,0,0
8087,142,1,1,0,0
8087,113,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,111,0,0,0,0
8087,133,1,1,0,0
8087,132,1,14,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,110,0,0,0,0
8087,119,1,1,0,0
8087,127,1,1,0,0
8087,116,0,0,0,0
8087,117,0,0,0,0
8087,115,0,0,0,0
8087,129,0,0,0,0
8087,120,1,1,0,0
8087,123,1,2,0,0
8087,125,0,0,0,0
8087,122,0,0,0,0
8087,129,0,0,0,0
8087,113,0,0,0,0
8087,158,1,4,0,0
8087,128,1,1,0,0
8087,115,0,0,0,0
8087,113,0,0,0,0
8087,112,0,0,0,0
8087,113,0,0,0,0
8087,117,1,1,0,0
8087,147,1,8,0,0
8087,122,0,0,0,0
8087,112,0,0,0,0
8087,116,0,0,0,0
8087,120,0,0,0,0
8087,142,1,16,0,0
8087,139,1,5,0,0
8087,116,0,0,0,0
8087,125,0,0,0,0
8087,115,0,0,0,0
8087,133,0,0,0,0
8087,117,1,4,0,0
8087,129,1,1,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,119,0,0,0,0
8087,114,0,0,0,0
8087,115,1,4,0,0
8087,115,1,1,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,110,0,0,0,0
8087,123,0,0,0,0
8087,156,1,2,0,0
8087,148,1,12,0,0
8087,127,0,0,0,0
8087,110,0,0,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,118,1,1,0,0
8087,122,1,1,0,0
8087,110,0,0,0,0
8087,119,0,0,0,0
8087,111,0,0,0,0
8087,112,0,0,0,0
8087,129,1,15,0,0
8087,116,1,2,0,0
8087,123,0,0,0,0
8087,138,0,0,0,0
8087,128,0,0,0,0
8087,117,0,0,0,0
8087,127,1,9,0,0
8087,114,1,1,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,121,0,0,0,0
8087,118,0,0,0,0
8087,167,1,12,0,0
8087,112,1,2,0,0
8087,113,0,0,0,0
8087,132,0,0,0,0
8087,113,0,0,0,0
8087,115,0,0,0,0
8087,131,1,15,0,0
8087,111,1,1,0,0
8087,114,0,0,0,0
8087,121,0,0,0,0
8087,113,0,0,0,0
8087,119,0,0,0,0
8087,118,1,1,0,0
8087,118,1,1,0,0
8087,116,0,0,0,0
8087,127,0,0,0,0
8087,115,0,0,0,0
8087,149,0,0,0,0
8087,127,1,9,0,0
8087,124,1,1,0,0
8087,132,0,0,0,0
8087,114,0,0,0,0
8087,121,0,0,0,0
8087,116,0,0,0,0
8087,123,1,1,0,0
8087,137,1,5,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,131,1,1,0,0
8087,115,1,2,0,0
8087,108,0,0,0,0
8087,125,0,0,0,0
8087,112,0,0,0,0
8087,124,0,0,0,0
8087,122,1,1,0,0
8087,135,1,1,0,0
8087,114,0,0,0,0
8087,130,0,0,0,0
8087,113,0,0,0,0
8087,115,0,0,0,0
8087,118,1,1,0,0
8087,127,1,2,0,0
8087,128,0,0,0,0
8087,124,0,0,0,0
8087,132,0,0,0,0
8087,114,0,0,0,0
8087,122,1,5,0,0
8087,118,1,1,0,0
8087,116,0,0,0,0
8087,118,0,0,0,0
8087,119,0,0,0,0
8087,115,0,0,0,0
8087,114,1,1,0,0
8087,143,1,13,0,0
8087,113,0,0,0,0
8087,107,0,0,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,116,1,1,0,0
8087,141,1,7,0,0
8087,114,0,0,0,0
8087,120,0,0,0,0
8087,117,0,0,0,0
8087,114,0,0,0,0
8087,117,1,2,0,0
8087,115,1,1,0,0
8087,114,0,0,0,0
8087,117,0,0,0,0
8087,125,0,0,0,0
8087,120,0,0,0,0
8087,126,1,11,0,0
8087,122,1,4,0,0
8087,115,0,0,0,0
8087,121,0,0,0,0
8087,121,0,0,0,0
8087,125,0,0,0,0
8087,114,1,1,0,0
8087,117,1,2,0,0
8087,115,0,0,0,0
8087,123,0,0,0,0
8087,115,0,0,0,0
8087,124,0,0,0,0
8087,116,1,1,0,0
8087,117,1,1,0,0
8087,117,0,0,0,0
8087,110,0,0,0,0
8087,113,0,0,0,0
8087,113,0,0,0,0
8087,130,1,1,0,0
8087,122,1,9,0,0
8087,146,0,0,0,0
8087,117,0,0,0,0
8087,117,0,0,0,0
8087,116,0,0,0,0
8087,130,1,2,0,0
8087,110,1,1,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,117,0,0,0,0
8087,135,0,0,0,0
8087,117,1,1,0,0
8087,116,1,1,0,0
8087,117,0,0,0,0
8087,129,0,0,0,0
8087,114,0,0,0,0
8087,118,0,0,0,0
8087,117,1,1,0,0
8087,132,1,17,0,0
8087,141,0,0,0,0
8087,115,0,0,0,0
8087,124,0,0,0,0
8087,118,0,0,0,0
8087,118,1,1,0,0
8087,125,1,13,0,0
8087,123,0,0,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,118,0,0,0,0
8087,111,1,1,0,0
8087,128,1,6,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,123,0,0,0,0
8087,133,1,1,0,0
8087,117,1,1,0,0
8087,117,0,0,0,0
8087,109,0,0,0,0
8087,115,0,0,0,0
8087,123,0,0,0,0
8087,136,1,2,0,0
8087,115,1,1,0,0
8087,109,0,0,0,0
8087,116,0,0,0,0
8087,105,0,0,0,0
8087,120,0,0,0,0
8087,123,1,1,0,0
8087,116,1,1,0,0
8087,116,0,0,0,0
8087,117,0,0,0,0
8087,116,0,0,0,0
8087,118,0,0,0,0
8087,115,1,1,0,0
8087,115,1,2,0,0
8087,111,0,0,0,0
8087,118,0,0,0,0
8087,120,0,0,0,0
8087,116,0,0,0,0
8087,114,1,1,0,0
8087,134,1,22,0,0
8087,121,0,0,0,0
8087,111,0,0,0,0
8087,121,0,0,0,0
8087,115,0,0,0,0
8087,126,1,1,0,0
8087,124,1,10,0,0
8087,119,0,0,0,0
8087,116,0,0,0,0
8087,120,0,0,0,0
8087,121,0,0,0,0
8087,116,1,1,0,0
8087,126,1,1,0,0
8087,132,0,0,0,0
8087,166,0,0,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,115,1,1,0,0
8087,122,1,1,0,0
8087,114,0,0,0,0
8087,117,0,0,0,0
8087,111,0,0,0,0
8087,130,0,0,0,0
8087,119,1,2,0,0
8087,128,1,11,0,0
8087,123,0,0,0,0
8087,114,0,0,0,0
8087,117,0,0,0,0
8087,114,0,0,0,0
8087,150,1,18,0,0
8087,122,1,6,0,0
8087,119,0,0,0,0
8087,110,0,0,0,0
8087,131,0,0,0,0
8087,115,0,0,0,0
8087,131,1,9,0,0
8087,113,1,4,0,0
8087,117,0,0,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,129,1,3,0,0
8087,122,1,3,0,0
8087,133,0,0,0,0
8087,117,0,0,0,0
8087,115,0,0,0,0
8087,120,0,0,0,0
8087,124,1,9,0,0
8087,128,1,7,0,0
8087,113,0,0,0,0
8087,117,0,0,0,0
8087,118,0,0,0,0
8087,120,0,0,0,0
8087,130,1,2,0,0
8087,127,1,1,0,0
8087,118,0,0,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,122,0,0,0,0
8087,116,1,1,0,0
8087,116,1,1,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,112,0,0,0,0
8087,115,0,0,0,0
8087,136,1,11,0,0
8087,125,1,1,0,0
8087,107,0,0,0,0
8087,113,0,0,0,0
8087,125,0,0,0,0
8087,115,0,0,0,0
8087,118,1,2,0,0
8087,131,1,3,0,0
8087,112,0,0,0,0
8087,113,0,0,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,129,1,9,0,0
8087,126,1,2,0,0
8087,118,0,0,0,0
8087,121,0,0,0,0
8087,130,0,0,0,0
8087,122,0,0,0,0
8087,120,1,5,0,0
8087,116,1,1,0,0
8087,114,0,0,0,0
8087,135,0,0,0,0
8087,110,0,0,0,0
8087,115,0,0,0,0
8087,128,1,2,0,0
8087,177,1,14,0,0
8087,111,0,0,0,0
8087,123,0,0,0,0
8087,112,0,0,0,0
8087,120,0,0,0,0
8087,162,1,2,0,0
8087,121,1,6,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,119,0,0,0,0
8087,115,0,0,0,0
8087,113,1,1,0,0
8087,120,1,1,0,0
8087,121,0,0,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,124,0,0,0,0
8087,116,1,1,0,0
8087,116,1,2,0,0
8087,118,0,0,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,130,0,0,0,0
8087,130,1,10,0,0
8087,126,1,1,0,0
8087,121,0,0,0,0
8087,109,0,0,0,0
8087,151,0,0,0,0
8087,115,0,0,0,0
8087,125,1,3,0,0
8087,111,1,1,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,112,0,0,0,0
8087,119,1,4,0,0
8087,115,1,1,0,0
8087,114,0,0,0,0
8087,106,0,0,0,0
8087,120,0,0,0,0
8087,125,0,0,0,0
8087,115,1,1,0,0
8087,119,1,4,0,0
8087,111,0,0,0,0
8087,112,0,0,0,0
8087,117,0,0,0,0
8087,115,0,0,0,0
8087,117,1,4,0,0
8087,124,1,2,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,123,0,0,0,0
8087,112,0,0,0,0
8087,120,1,1,0,0
8087,118,1,4,0,0
8087,123,0,0,0,0
8087,123,0,0,0,0
8087,134,0,0,0,0
8087,115,0,0,0,0
8087,120,1,9,0,0
8087,116,1,1,0,0
8087,157,0,0,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,115,1,1,0,0
8087,131,1,3,0,0
8087,128,0,0,0,0
8087,114,0,0,0,0
8087,112,0,0,0,0
8087,114,0,0,0,0
8087,131,1,1,0,0
8087,120,1,2,0,0
8087,115,0,0,0,0
8087,125,0,0,0,0
8087,112,0,0,0,0
8087,117,0,0,0,0
8087,117,1,1,0,0
8087,129,1,1,0,0
8087,116,0,0,0,0
8087,111,0,0,0,0
8087,113,0,0,0,0
8087,114,0,0,0,0
8087,115,1,3,0,0
8087,120,1,1,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,122,0,0,0,0
8087,114,0,0,0,0
8087,127,1,2,0,0
8087,116,1,2,0,0
8087,113,0,0,0,0
8087,111,0,0,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,126,1,1,0,0
8087,124,1,4,0,0
8087,121,0,0,0,0
8087,135,0,0,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,116,1,1,0,0
8087,110,1,1,0,0
8087,115,0,0,0,0
8087,109,0,0,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,115,1,1,0,0
8087,131,1,10,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,137,0,0,0,0
8087,116,1,1,0,0
8087,127,1,8,0,0
8087,115,0,0,0,0
8087,110,0,0,0,0
8087,149,0,0,0,0
8087,114,0,0,0,0
8087,121,1,1,0,0
8087,117,1,2,0,0
8087,126,0,0,0,0
8087,112,0,0,0,0
8087,113,0,0,0,0
8087,126,0,0,0,0
8087,118,1,1,0,0
8087,116,1,1,0,0
8087,112,0,0,0,0
8087,116,0,0,0,0
8087,121,0,0,0,0
8087,116,0,0,0,0
8087,116,1,1,0,0
8087,117,1,1,0,0
8087,113,0,0,0,0
8087,118,0,0,0,0
8087,131,0,0,0,0
8087,115,0,0,0,0
8087,122,1,1,0,0
8087,116,1,5,0,0
8087,134,0,0,0,0
8087,114,0,0,0,0
8087,119,0,0,0,0
8087,115,0,0,0,0
8087,117,1,1,0,0
8087,120,1,1,0,0
8087,110,0,0,0,0
8087,119,0,0,0,0
8087,112,0,0,0,0
8087,124,0,0,0,0
8087,117,1,1,0,0
8087,110,1,1,0,0
8087,113,0,0,0,0
8087,135,0,0,0,0
8087,132,0,0,0,0
8087,158,0,0,0,0
8087,123,1,2,0,0
8087,135,1,7,0,0
8087,113,0,0,0,0
8087,155,0,0,0,0
8087,124,0,0,0,0
8087,129,0,0,0,0
8087,143,1,11,0,0
8087,118,1,1,0,0
8087,116,0,0,0,0
8087,128,0,0,0,0
8087,130,0,0,0,0
8087,114,0,0,0,0
8087,133,1,9,0,0
8087,121,1,1,0,0
8087,115,0,0,0,0
8087,131,0,0,0,0
8087,119,0,0,0,0
8087,118,0,0,0,0
8087,124,1,2,0,0
8087,114,1,1,0,0
8087,115,0,0,0,0
8087,122,0,0,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,139,1,9,0,0
8087,118,1,3,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,107,0,0,0,0
8087,121,0,0,0,0
8087,116,1,1,0,0
8087,123,1,2,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,125,0,0,0,0
8087,120,0,0,0,0
8087,115,1,1,0,0
8087,123,1,2,0,0
8087,117,0,0,0,0
8087,118,0,0,0,0
8087,120,0,0,0,0
8087,118,0,0,0,0
8087,126,1,1,0,0
8087,112,0,0,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,113,0,0,0,0
8087,122,1,1,0,0
8087,116,1,1,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,120,0,0,0,0
8087,121,0,0,0,0
8087,117,1,1,0,0
8087,125,1,2,0,0
8087,114,0,0,0,0
8087,127,0,0,0,0
8087,116,0,0,0,0
8087,119,0,0,0,0
8087,123,1,7,0,0
8087,117,1,1,0,0
8087,118,0,0,0,0
8087,106,0,0,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,119,1,2,0,0
8087,113,1,1,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,113,0,0,0,0
8087,112,0,0,0,0
8087,118,1,1,0,0
8087,121,1,1,0,0
8087,107,0,0,0,0
8087,115,0,0,0,0
8087,112,0,0,0,0
8087,116,0,0,0,0
8087,117,1,2,0,0
8087,116,1,1,0,0
8087,115,0,0,0,0
8087,120,0,0,0,0
8087,114,0,0,0,0
8087,115,0,0,0,0
8087,115,1,1,0,0
8087,118,1,3,0,0
8087,126,0,0,0,0
8087,111,0,0,0,0
8087,116,0,0,0,0
8087,111,0,0,0,0
8087,124,1,1,0,0
8087,115,1,2,0,0
8087,113,0,0,0,0
8087,120,0,0,0,0
8087,118,0,0,0,0
8087,114,0,0,0,0
8087,128,1,3,0,0
8087,118,1,1,0,0
8087,111,0,0,0,0
8087,124,0,0,0,0
8087,112,0,0,0,0
8087,119,0,0,0,0
8087,115,1,1,0,0
8087,113,1,1,0,0
8087,115,0,0,0,0
8087,107,0,0,0,0
8087,115,0,0,0,0
8087,113,0,0,0,0
8087,118,1,1,0,0
8087,140,1,18,0,0
8087,109,0,0,0,0
8087,114,0,0,0,0
8087,112,0,0,0,0
8087,116,0,0,0,0
8087,121,1,3,0,0
8087,129,1,1,0,0
8087,124,0,0,0,0
8087,115,0,0,0,0
8087,124,0,0,0,0
8087,122,0,0,0,0
8087,118,1,2,0,0
8087,116,1,1,0,0
8087,131,0,0,0,0
8087,114,0,0,0,0
8087,122,0,0,0,0
8087,114,0,0,0,0
8087,122,1,1,0,0
8087,126,1,9,0,0
8087,117,0,0,0,0
8087,113,0,0,0,0
8087,112,0,0,0,0
8087,115,0,0,0,0
8087,140,1,12,0,0
8087,129,1,1,0,0
8087,118,0,0,0,0
8087,129,0,0,0,0
8087,114,0,0,0,0
8087,111,0,0,0,0
8087,132,1,9,0,0
8087,134,1,1,0,0
8087,113,0,0,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,119,0,0,0,0
8087,116,1,1,0,0
8087,132,1,2,0,0
8087,117,0,0,0,0
8087,126,0,0,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,117,1,1,0,0
8087,119,1,3,0,0
8087,110,0,0,0,0
8087,118,0,0,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,121,1,1,0,0
8087,119,1,1,0,0
8087,115,0,0,0,0
8087,107,0,0,0,0
8087,116,0,0,0,0
8087,126,0,0,0,0
8087,119,1,2,0,0
8087,118,1,1,0,0
8087,131,0,0,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,113,0,0,0,0
8087,116,1,1,0,0
8087,125,1,2,0,0
8087,116,0,0,0,0
8087,118,0,0,0,0
8087,118,0,0,0,0
8087,114,0,0,0,0
8087,125,1,7,0,0
8087,118,1,1,0,0
8087,116,0,0,0,0
8087,111,0,0,0,0
8087,110,0,0,0,0
8087,116,0,0,0,0
8087,119,1,1,0,0
8087,136,1,1,0,0
8087,113,0,0,0,0
8087,120,0,0,0,0
8087,115,0,0,0,0
8087,115,0,0,0,0
8087,127,1,1,0,0
8087,122,1,7,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,113,0,0,0,0
8087,118,0,0,0,0
8087,113,1,1,0,0
8087,118,1,2,0,0
8087,120,0,0,0,0
8087,116,0,0,0,0
8087,115,0,0,0,0
8087,119,0,0,0,0
8087,131,1,1,0,0
8087,123,1,1,0,0
8087,110,0,0,0,0
8087,109,0,0,0,0
8087,107,0,0,0,0
8087,112,0,0,0,0
8087,110,1,1,0,0
8087,117,1,1,0,0
8087,115,0,0,0,0
8087,131,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,125,1,2,0,0
8087,116,1,1,0,0
8087,106,0,0,0,0
8087,131,0,0,0,0
8087,120,0,0,0,0
8087,112,0,0,0,0
8087,116,1,1,0,0
8087,114,1,1,0,0
8087,115,0,0,0,0
8087,114,0,0,0,0
8087,112,0,0,0,0
8087,116,0,0,0,0
8087,120,1,2,0,0
8087,186,1,1,0,0
8087,121,0,0,0,0
8087,136,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,121,1,1,0,0
8087,129,1,1,0,0
8087,126,0,0,0,0
8087,114,0,0,0,0
8087,121,0,0,0,0
8087,119,0,0,0,0
8087,130,1,10,0,0
8087,115,1,1,0,0
8087,129,0,0,0,0
8087,116,0,0,0,0
8087,120,0,0,0,0
8087,113,0,0,0,0
8087,120,1,1,0,0
8087,145,1,31,0,0
8087,114,0,0,0,0
8087,114,0,0,0,0
8087,116,0,0,0,0
8087,116,0,0,0,0
8087,132,1,2,0,0
8087,132,1,1,0,0
8087,112,0,0,0,0
8087,106,0,0,0,0
8087,115,0,0,0,0
8087,118,0,0,0,0
8087,127,1,1,0,0
8087,116,1,1,0,0
8087,118,0,0,0,0
8087,116,0,0,0,0
8087,124,0,0,0,0
8087,130,0,0,0,0
8087,116,1,1,0,0
8087,127,1,16,0,0
8087,117,0,0,0,0
8087,121,0,0,0,0
8087,117,0,0,0,0
8087,114,0,0,0,0
8087,114,1,2,0,0
8087,118,1,1,0,0
8087,115,0,0,0,0
8087,111,0,0,0,0
8087,127,0,0,0,0
8087,117,0,0,0,0
8087,168,1,1,0,0
8087,123,1,2,0,0
8087,106,0,0,0,0
8087,118,0,0,0,0
8087,111,0,0,0,0
8087,119,0,0,0,0
8087,133,1,4,0,0
8087,125,1,1,0,0
8087,120,0,0,0,0
8087,115,0,0,0,0
8087,127,0,0,0,0
8087,120,0,0,0,0
8087,113,1,1,0,0
8087,117,1,3,0,0
8087,126,0,0,0,0
8087,106,0,0,0,0
8087,116,0,0,0,0
8087,114,0,0,0,0
8087,125,1,7,0,0
8087,124,1,2,0,0
8087,118,0,0,0,0
8087,115,0,0,0,0
8087,116,0,0,0,0
8087,118,0,0,0,0
8087,120,1,1,0,0
8087,121,1,6,0,0
8087,115,0,0,0,0
8087,110,0,0,0,0
8087,115,0,0,0,0
8087,112,0,0,0,0
8087,144,1,8,0,0
8087,126,1,1,0,0
8087,116,0,0,0,0
8087,117,0,0,0,0
8087,116,0,0,0,0
8087,135,0,0,0,0
8087,119,1,3,0,0
8087,117,1,3,0,0
8087,126,0,0,0,0
8087,124,0,0,0,0
8087,113,0,0,0,0
8087,115,0,0,0,0
8087,116,1,1,0,0
8087,117,1,1,0,0
8087,114,0,0,0,0
8087,131,0,0,0,0
8087,113,0,0,0,0
8087,120,0,0,0,0
8087,116,1,1,0,0
8087,113,1,1,0,0
8087,117,0,0,0,0
8087,107,0,0,0,0
8087,113,0,0,0,0
8087,122,0,0,0,0
8087,112,1,2,0,0
8087,119,1,1,0,0
8087,113,0,0,0,0
8087,108,0,0,0,0
8087,115,0,0,0,0
8087,127,0,0,0,0
8087,121,1,2,0,0
8087,115,1,2,0,0
8087,110,0,0,0,0
